Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_ALPHA,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
3497501,164,DPWSolver,True,500000,3000,0.999,0.2,True,1096449,0,1096449
3497502,358,NAIVE,True,500000,3000,0.999,0.2,True,1113290,0,1113290
3497503,76,ProgressiveWideningSolver,True,500000,3000,0.999,0.2,True,1116336,0,1116336
3497504,197,DPWSolver,True,750000,3000,0.999,0.2,True,1096437,0,1096437
3497505,423,NAIVE,True,750000,3000,0.999,0.2,True,1118585,0,1118585
3497506,87,ProgressiveWideningSolver,True,750000,3000,0.999,0.2,True,1121407,0,1121407
4956101,5,DPWSolver,False,25000,20,0.9998,0.2,True,1189278,0,1189278
4956102,6,DPWSolver,False,25000,20,0.9998,0.2,False,1190707,0,1190707
4956103,2,DPWSolver,False,25000,20,0.9998,0.4,True,1191658,0,1191658
4956104,2,DPWSolver,False,25000,20,0.9998,0.4,False,1196942,0,1196942
4956105,5,NAIVE,False,25000,20,0.9998,0.4,False,1168230,0,1168230
4956106,2,ProgressiveWideningSolver,False,25000,20,0.9998,0.2,False,1212048,0,1212048
4956107,1,ProgressiveWideningSolver,False,25000,20,0.9998,0.4,False,1211712,0,1211712
4956108,1,DPWSolver,False,25000,20,0.999,0.2,True,1191316,0,1191316
4956109,1,DPWSolver,False,25000,20,0.999,0.2,False,1169557,0,1169557
4956110,1,DPWSolver,False,25000,20,0.999,0.4,True,1208834,0,1208834
4956111,1,DPWSolver,False,25000,20,0.999,0.4,False,1193008,0,1193008
4956112,5,NAIVE,False,25000,20,0.999,0.4,False,1192107,0,1192107
4956113,1,ProgressiveWideningSolver,False,25000,20,0.999,0.2,False,1207357,0,1207357
4956114,1,ProgressiveWideningSolver,False,25000,20,0.999,0.4,False,1234117,0,1234117
4956115,3,DPWSolver,False,25000,50,0.9998,0.2,True,1147306,0,1147306
4956116,3,DPWSolver,False,25000,50,0.9998,0.2,False,1132035,0,1132035
4956117,3,DPWSolver,False,25000,50,0.9998,0.4,True,1163840,0,1163840
4956118,3,DPWSolver,False,25000,50,0.9998,0.4,False,1131939,0,1131939
4956119,11,NAIVE,False,25000,50,0.9998,0.4,False,1153841,0,1153841
4956120,1,ProgressiveWideningSolver,False,25000,50,0.9998,0.2,False,1206200,0,1206200
4956121,2,ProgressiveWideningSolver,False,25000,50,0.9998,0.4,False,1169210,0,1169210
4956122,3,DPWSolver,False,25000,50,0.999,0.2,True,1147524,0,1147524
4956123,3,DPWSolver,False,25000,50,0.999,0.2,False,1183845,0,1183845
4956124,3,DPWSolver,False,25000,50,0.999,0.4,True,1192462,0,1192462
4956125,3,DPWSolver,False,25000,50,0.999,0.4,False,1176604,0,1176604
4956126,11,NAIVE,False,25000,50,0.999,0.4,False,1204659,0,1204659
4956127,1,ProgressiveWideningSolver,False,25000,50,0.999,0.2,False,1183483,0,1183483
4956128,2,ProgressiveWideningSolver,False,25000,50,0.999,0.4,False,1183231,0,1183231
4956129,5,DPWSolver,False,25000,100,0.9998,0.2,True,1134708,0,1134708
4956130,5,DPWSolver,False,25000,100,0.9998,0.2,False,1135560,0,1135560
4956131,5,DPWSolver,False,25000,100,0.9998,0.4,True,1173381,0,1173381
4956132,5,DPWSolver,False,25000,100,0.9998,0.4,False,1123418,0,1123418
4956133,20,NAIVE,False,25000,100,0.9998,0.4,False,1196638,0,1196638
4956134,3,ProgressiveWideningSolver,False,25000,100,0.9998,0.2,False,1149875,0,1149875
4956135,5,ProgressiveWideningSolver,False,25000,100,0.9998,0.4,False,1179940,0,1179940
4956136,6,DPWSolver,False,25000,100,0.999,0.2,True,1136902,0,1136902
4956137,9,DPWSolver,False,25000,100,0.999,0.2,False,1132457,0,1132457
4956138,6,DPWSolver,False,25000,100,0.999,0.4,True,1163894,0,1163894
4956139,6,DPWSolver,False,25000,100,0.999,0.4,False,1151252,0,1151252
4956140,21,NAIVE,False,25000,100,0.999,0.4,False,1162440,0,1162440
4956141,3,ProgressiveWideningSolver,False,25000,100,0.999,0.2,False,1149321,0,1149321
4956142,4,ProgressiveWideningSolver,False,25000,100,0.999,0.4,False,1140240,0,1140240
4956143,9,DPWSolver,False,25000,200,0.9998,0.2,True,1140511,0,1140511
4956144,9,DPWSolver,False,25000,200,0.9998,0.2,False,1111773,0,1111773
4956145,11,DPWSolver,False,25000,200,0.9998,0.4,True,1139201,0,1139201
4956146,13,DPWSolver,False,25000,200,0.9998,0.4,False,1144621,0,1144621
4956147,39,NAIVE,False,25000,200,0.9998,0.4,False,1150152,0,1150152
4956148,11,ProgressiveWideningSolver,False,25000,200,0.9998,0.2,False,1144667,0,1144667
4956149,26,ProgressiveWideningSolver,False,25000,200,0.9998,0.4,False,1151359,0,1151359
4956150,23,DPWSolver,False,25000,200,0.999,0.2,True,1119848,0,1119848
4956151,18,DPWSolver,False,25000,200,0.999,0.2,False,1116484,0,1116484
4956152,16,DPWSolver,False,25000,200,0.999,0.4,True,1156569,0,1156569
4956153,16,DPWSolver,False,25000,200,0.999,0.4,False,1155152,0,1155152
4956154,58,NAIVE,False,25000,200,0.999,0.4,False,1115591,0,1115591
4956155,9,ProgressiveWideningSolver,False,25000,200,0.999,0.2,False,1174512,0,1174512
4956156,16,ProgressiveWideningSolver,False,25000,200,0.999,0.4,False,1154902,0,1154902
4956157,30,DPWSolver,False,25000,500,0.9998,0.2,True,1102253,0,1102253
4956158,28,DPWSolver,False,25000,500,0.9998,0.2,False,1108675,0,1108675
4956159,41,DPWSolver,False,25000,500,0.9998,0.4,True,1117093,0,1117093
4956160,40,DPWSolver,False,25000,500,0.9998,0.4,False,1114412,0,1114412
4956161,86,NAIVE,False,25000,500,0.9998,0.4,False,1118786,0,1118786
4956162,11,ProgressiveWideningSolver,False,25000,500,0.9998,0.2,False,1157283,0,1157283
4956163,27,ProgressiveWideningSolver,False,25000,500,0.9998,0.4,False,1145452,0,1145452
4956164,29,DPWSolver,False,25000,500,0.999,0.2,True,1113137,0,1113137
4956165,29,DPWSolver,False,25000,500,0.999,0.2,False,1123759,0,1123759
4956166,40,DPWSolver,False,25000,500,0.999,0.4,True,1098104,0,1098104
4956167,41,DPWSolver,False,25000,500,0.999,0.4,False,1112346,0,1112346
4956168,89,NAIVE,False,25000,500,0.999,0.4,False,1109079,0,1109079
4956169,11,ProgressiveWideningSolver,False,25000,500,0.999,0.2,False,1157840,0,1157840
4956170,27,ProgressiveWideningSolver,False,25000,500,0.999,0.4,False,1102532,0,1102532
4956171,59,DPWSolver,False,25000,1000,0.9998,0.2,True,1102309,0,1102309
4956172,61,DPWSolver,False,25000,1000,0.9998,0.2,False,1108412,0,1108412
4956173,84,DPWSolver,False,25000,1000,0.9998,0.4,True,1115314,0,1115314
4956174,82,DPWSolver,False,25000,1000,0.9998,0.4,False,1107555,0,1107555
4956175,104,NAIVE,False,25000,1000,0.9998,0.4,False,1111899,0,1111899
4956176,15,ProgressiveWideningSolver,False,25000,1000,0.9998,0.2,False,1186269,0,1186269
4956177,37,ProgressiveWideningSolver,False,25000,1000,0.9998,0.4,False,1140743,0,1140743
4956178,46,DPWSolver,False,25000,1000,0.999,0.2,True,1109908,0,1109908
4956179,46,DPWSolver,False,25000,1000,0.999,0.2,False,1125897,0,1125897
4956180,64,DPWSolver,False,25000,1000,0.999,0.4,True,1124952,0,1124952
4956181,65,DPWSolver,False,25000,1000,0.999,0.4,False,1129519,0,1129519
4956182,102,NAIVE,False,25000,1000,0.999,0.4,False,1126304,0,1126304
4956183,14,ProgressiveWideningSolver,False,25000,1000,0.999,0.2,False,1152760,0,1152760
4956184,44,ProgressiveWideningSolver,False,25000,1000,0.999,0.4,False,1149965,0,1149965
4956185,2,DPWSolver,False,50000,20,0.9998,0.2,True,1170298,0,1170298
4956186,2,DPWSolver,False,50000,20,0.9998,0.2,False,1194794,0,1194794
4956187,2,DPWSolver,False,50000,20,0.9998,0.4,True,1187227,0,1187227
4956188,2,DPWSolver,False,50000,20,0.9998,0.4,False,1215712,0,1215712
4956189,5,NAIVE,False,50000,20,0.9998,0.4,False,1183327,0,1183327
