Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_EXPLORATION,DPW_ALPHA,MIN_SET_SIZE,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
3984101,177,DPWSolver,True,1000000,3000,0.9987,6,0.2,6,False,1244753,0,1244753
3984102,306,DPWSolver,True,1000000,3000,0.9987,6,0.4,6,False,1237291,0,1237291
3984103,389,NAIVE,True,1000000,3000,0.9987,6,0.4,6,False,1276746,0,1276746
3984104,81,ProgressiveWideningSolver,True,1000000,3000,0.9987,6,0.2,6,False,1275117,0,1275117
3984105,236,ProgressiveWideningSolver,True,1000000,3000,0.9987,6,0.4,6,False,1262622,0,1262622
7554001,2,DPWSolver,False,500000,20,0.9998,4,0.2,6,True,1325056,0,1325056
7554002,2,DPWSolver,False,500000,20,0.9998,8,0.2,6,True,1344846,0,1344846
7554003,2,DPWSolver,False,500000,20,0.9998,4,0.4,6,True,1329520,0,1329520
7554004,2,DPWSolver,False,500000,20,0.9998,8,0.4,6,True,1333974,0,1333974
7554005,5,NAIVE,False,500000,20,0.9998,8,0.4,6,True,1289829,0,1289829
7554006,1,ProgressiveWideningSolver,False,500000,20,0.9998,4,0.2,6,True,1304048,0,1304048
7554007,2,ProgressiveWideningSolver,False,500000,20,0.9998,8,0.2,6,True,1323304,0,1323304
7554008,2,ProgressiveWideningSolver,False,500000,20,0.9998,4,0.4,6,True,1345858,0,1345858
7554009,2,ProgressiveWideningSolver,False,500000,20,0.9998,8,0.4,6,True,1357544,0,1357544
7554010,3,DPWSolver,False,500000,20,0.9998,4,0.2,11,True,1307907,0,1307907
7554011,2,DPWSolver,False,500000,20,0.9998,8,0.2,11,True,1310312,0,1310312
7554012,3,DPWSolver,False,500000,20,0.9998,4,0.4,11,True,1283984,0,1283984
7554013,2,DPWSolver,False,500000,20,0.9998,8,0.4,11,True,1274004,0,1274004
7554014,6,NAIVE,False,500000,20,0.9998,8,0.4,11,True,1317313,0,1317313
7554015,2,ProgressiveWideningSolver,False,500000,20,0.9998,4,0.2,11,True,1332628,0,1332628
7554016,2,ProgressiveWideningSolver,False,500000,20,0.9998,8,0.2,11,True,1325104,0,1325104
7554017,2,ProgressiveWideningSolver,False,500000,20,0.9998,4,0.4,11,True,1317296,0,1317296
7554018,3,ProgressiveWideningSolver,False,500000,20,0.9998,8,0.4,11,True,1348100,0,1348100
7554019,2,DPWSolver,False,500000,20,0.998,4,0.2,6,True,1322422,0,1322422
7554020,2,DPWSolver,False,500000,20,0.998,8,0.2,6,True,1336203,0,1336203
7554021,2,DPWSolver,False,500000,20,0.998,4,0.4,6,True,1336120,0,1336120
7554022,2,DPWSolver,False,500000,20,0.998,8,0.4,6,True,1318330,0,1318330
7554023,6,NAIVE,False,500000,20,0.998,8,0.4,6,True,1312316,0,1312316
7554024,2,ProgressiveWideningSolver,False,500000,20,0.998,4,0.2,6,True,1323615,0,1323615
7554025,2,ProgressiveWideningSolver,False,500000,20,0.998,8,0.2,6,True,1343076,0,1343076
7554026,2,ProgressiveWideningSolver,False,500000,20,0.998,4,0.4,6,True,1318422,0,1318422
7554027,2,ProgressiveWideningSolver,False,500000,20,0.998,8,0.4,6,True,1368261,0,1368261
7554028,2,DPWSolver,False,500000,20,0.998,4,0.2,11,True,1287333,0,1287333
7554029,3,DPWSolver,False,500000,20,0.998,8,0.2,11,True,1277600,0,1277600
7554030,2,DPWSolver,False,500000,20,0.998,4,0.4,11,True,1302409,0,1302409
7554031,3,DPWSolver,False,500000,20,0.998,8,0.4,11,True,1315570,0,1315570
7554032,6,NAIVE,False,500000,20,0.998,8,0.4,11,True,1335208,0,1335208
7554033,2,ProgressiveWideningSolver,False,500000,20,0.998,4,0.2,11,True,1277895,0,1277895
7554034,3,ProgressiveWideningSolver,False,500000,20,0.998,8,0.2,11,True,1289364,0,1289364
7554035,3,ProgressiveWideningSolver,False,500000,20,0.998,4,0.4,11,True,1281026,0,1281026
7554036,2,ProgressiveWideningSolver,False,500000,20,0.998,8,0.4,11,True,1307274,0,1307274
7554037,3,DPWSolver,False,500000,50,0.9998,4,0.2,6,True,1347547,0,1347547
7554038,3,DPWSolver,False,500000,50,0.9998,8,0.2,6,True,1310987,0,1310987
7554039,3,DPWSolver,False,500000,50,0.9998,4,0.4,6,True,1286321,0,1286321
7554040,3,DPWSolver,False,500000,50,0.9998,8,0.4,6,True,1289152,0,1289152
7554041,13,NAIVE,False,500000,50,0.9998,8,0.4,6,True,1312988,0,1312988
7554042,3,ProgressiveWideningSolver,False,500000,50,0.9998,4,0.2,6,True,1310768,0,1310768
7554043,3,ProgressiveWideningSolver,False,500000,50,0.9998,8,0.2,6,True,1302451,0,1302451
7554044,3,ProgressiveWideningSolver,False,500000,50,0.9998,4,0.4,6,True,1321761,0,1321761
7554045,3,ProgressiveWideningSolver,False,500000,50,0.9998,8,0.4,6,True,1274488,0,1274488
7554046,3,DPWSolver,False,500000,50,0.9998,4,0.2,11,True,1292202,0,1292202
7554047,3,DPWSolver,False,500000,50,0.9998,8,0.2,11,True,1267453,0,1267453
7554048,4,DPWSolver,False,500000,50,0.9998,4,0.4,11,True,1316661,0,1316661
7554049,4,DPWSolver,False,500000,50,0.9998,8,0.4,11,True,1310081,0,1310081
7554050,13,NAIVE,False,500000,50,0.9998,8,0.4,11,True,1330328,0,1330328
7554051,3,ProgressiveWideningSolver,False,500000,50,0.9998,4,0.2,11,True,1313071,0,1313071
7554052,3,ProgressiveWideningSolver,False,500000,50,0.9998,8,0.2,11,True,1352023,0,1352023
7554053,3,ProgressiveWideningSolver,False,500000,50,0.9998,4,0.4,11,True,1338692,0,1338692
7554054,3,ProgressiveWideningSolver,False,500000,50,0.9998,8,0.4,11,True,1278654,0,1278654
7554055,3,DPWSolver,False,500000,50,0.998,4,0.2,6,True,1307549,0,1307549
7554056,3,DPWSolver,False,500000,50,0.998,8,0.2,6,True,1295899,0,1295899
7554057,3,DPWSolver,False,500000,50,0.998,4,0.4,6,True,1322629,0,1322629
7554058,3,DPWSolver,False,500000,50,0.998,8,0.4,6,True,1323446,0,1323446
7554059,14,NAIVE,False,500000,50,0.998,8,0.4,6,True,1333254,0,1333254
7554060,3,ProgressiveWideningSolver,False,500000,50,0.998,4,0.2,6,True,1328485,0,1328485
7554061,3,ProgressiveWideningSolver,False,500000,50,0.998,8,0.2,6,True,1314774,0,1314774
7554062,3,ProgressiveWideningSolver,False,500000,50,0.998,4,0.4,6,True,1321395,0,1321395
7554063,3,ProgressiveWideningSolver,False,500000,50,0.998,8,0.4,6,True,1319111,0,1319111
7554064,3,DPWSolver,False,500000,50,0.998,4,0.2,11,True,1282410,0,1282410
7554065,3,DPWSolver,False,500000,50,0.998,8,0.2,11,True,1263169,0,1263169
7554066,3,DPWSolver,False,500000,50,0.998,4,0.4,11,True,1309327,0,1309327
7554067,4,DPWSolver,False,500000,50,0.998,8,0.4,11,True,1306284,0,1306284
7554068,13,NAIVE,False,500000,50,0.998,8,0.4,11,True,1281079,0,1281079
7554069,3,ProgressiveWideningSolver,False,500000,50,0.998,4,0.2,11,True,1302194,0,1302194
