Simulation number,run_time,ALGORITHM,EXPLORATION_CONSTANT,MAX_ITERATION,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
9523601,3,DPWSolver,10000,50,1921036,0,1921036
9523602,24,NAIVE,10000,50,1835294,0,1835294
9523603,3,ProgressiveWideningSolver,10000,50,2087284,0,2087284
9523604,8,DPWSolver,10000,100,1820961,0,1820961
9523605,63,NAIVE,10000,100,1708608,0,1708608
9523606,5,ProgressiveWideningSolver,10000,100,2088671,0,2088671
9523607,14,DPWSolver,10000,200,1811629,0,1811629
9523608,166,NAIVE,10000,200,1876775,0,1876775
9523609,6,ProgressiveWideningSolver,10000,200,1773293,0,1773293
9523610,37,DPWSolver,10000,500,1782470,0,1782470
9523611,382,NAIVE,10000,500,1819122,0,1819122
9523612,11,ProgressiveWideningSolver,10000,500,2080688,0,2080688
9523613,76,DPWSolver,10000,1000,1748450,0,1748450
9523614,512,NAIVE,10000,1000,1784400,0,1784400
9523615,21,ProgressiveWideningSolver,10000,1000,1828736,0,1828736
9523616,4,DPWSolver,100000,50,2039655,0,2039655
9523617,25,NAIVE,100000,50,1946816,0,1946816
9523618,3,ProgressiveWideningSolver,100000,50,2062109,0,2062109
9523619,9,DPWSolver,100000,100,1718376,0,1718376
9523620,69,NAIVE,100000,100,1678038,0,1678038
9523621,5,ProgressiveWideningSolver,100000,100,1980078,0,1980078
9523622,15,DPWSolver,100000,200,1747371,0,1747371
9523623,150,NAIVE,100000,200,1574273,0,1574273
9523624,7,ProgressiveWideningSolver,100000,200,1956704,0,1956704
9523625,37,DPWSolver,100000,500,1789037,0,1789037
9523626,347,NAIVE,100000,500,1863721,0,1863721
9523627,11,ProgressiveWideningSolver,100000,500,2034437,0,2034437
9523628,91,DPWSolver,100000,1000,1700820,0,1700820
9523629,552,NAIVE,100000,1000,1776726,0,1776726
9523630,21,ProgressiveWideningSolver,100000,1000,2097719,0,2097719
9523631,5,DPWSolver,500000,50,1915715,0,1915715
9523632,25,NAIVE,500000,50,1808708,0,1808708
9523633,3,ProgressiveWideningSolver,500000,50,1940406,0,1940406
9523634,9,DPWSolver,500000,100,1717586,0,1717586
9523635,61,NAIVE,500000,100,1653019,0,1653019
9523636,6,ProgressiveWideningSolver,500000,100,1997790,0,1997790
9523637,16,DPWSolver,500000,200,1872585,0,1872585
9523638,149,NAIVE,500000,200,1620720,0,1620720
9523639,10,ProgressiveWideningSolver,500000,200,1847020,0,1847020
9523640,38,DPWSolver,500000,500,1630298,0,1630298
9523641,306,NAIVE,500000,500,1989715,0,1989715
9523642,19,ProgressiveWideningSolver,500000,500,1879060,0,1879060
9523643,81,DPWSolver,500000,1000,1709367,0,1709367
9523644,517,NAIVE,500000,1000,1667371,0,1667371
9523645,34,ProgressiveWideningSolver,500000,1000,1712723,0,1712723
9523646,5,DPWSolver,2000000,50,1822488,0,1822488
9523647,25,NAIVE,2000000,50,1884506,0,1884506
9523648,3,ProgressiveWideningSolver,2000000,50,2068728,0,2068728
9523649,8,DPWSolver,2000000,100,1799171,0,1799171
9523650,63,NAIVE,2000000,100,1866457,0,1866457
9523651,7,ProgressiveWideningSolver,2000000,100,1719233,0,1719233
9523652,16,DPWSolver,2000000,200,1637154,0,1637154
9523653,154,NAIVE,2000000,200,1640083,0,1640083
9523654,12,ProgressiveWideningSolver,2000000,200,1827690,0,1827690
9523655,39,DPWSolver,2000000,500,1486423,0,1486423
9523656,286,NAIVE,2000000,500,1726398,0,1726398
9523657,27,ProgressiveWideningSolver,2000000,500,1635081,0,1635081
9523658,83,DPWSolver,2000000,1000,1512575,0,1512575
9523659,487,NAIVE,2000000,1000,1762451,0,1762451
9523660,56,ProgressiveWideningSolver,2000000,1000,1714043,0,1714043
