Simulation number,run_time,HEURISTIC,ALGORITHM,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
1137501,3,True,DPWSolver,100,50,0.9998,2037125,0,2037125
1137502,3,False,DPWSolver,100,50,0.9998,2265760,0,2265760
1137503,18,True,NAIVE,100,50,0.9998,2061123,0,2061123
1137504,25,False,NAIVE,100,50,0.9998,2152178,0,2152178
1137505,1,True,ProgressiveWideningSolver,100,50,0.9998,2035204,0,2035204
1137506,2,False,ProgressiveWideningSolver,100,50,0.9998,2272321,0,2272321
1137507,3,True,DPWSolver,100,50,0.998,2117075,0,2117075
1137508,3,False,DPWSolver,100,50,0.998,2263793,0,2263793
1137509,20,True,NAIVE,100,50,0.998,1995484,0,1995484
1137510,25,False,NAIVE,100,50,0.998,2213088,0,2213088
1137511,1,True,ProgressiveWideningSolver,100,50,0.998,2071415,0,2071415
1137512,2,False,ProgressiveWideningSolver,100,50,0.998,2181160,0,2181160
1137513,5,True,DPWSolver,100,100,0.9998,1922662,0,1922662
1137514,5,False,DPWSolver,100,100,0.9998,2154626,0,2154626
1137515,47,True,NAIVE,100,100,0.9998,1936356,0,1936356
1137516,59,False,NAIVE,100,100,0.9998,2094055,0,2094055
1137517,3,True,ProgressiveWideningSolver,100,100,0.9998,2076903,0,2076903
1137518,4,False,ProgressiveWideningSolver,100,100,0.9998,2267918,0,2267918
1137519,5,True,DPWSolver,100,100,0.998,1956723,0,1956723
1137520,5,False,DPWSolver,100,100,0.998,2140679,0,2140679
1137521,53,True,NAIVE,100,100,0.998,1967990,0,1967990
1137522,66,False,NAIVE,100,100,0.998,1995778,0,1995778
1137523,3,True,ProgressiveWideningSolver,100,100,0.998,2026350,0,2026350
1137524,4,False,ProgressiveWideningSolver,100,100,0.998,2140321,0,2140321
1137525,10,True,DPWSolver,100,200,0.9998,2117272,0,2117272
1137526,10,False,DPWSolver,100,200,0.9998,2192007,0,2192007
1137527,130,True,NAIVE,100,200,0.9998,1998009,0,1998009
1137528,156,False,NAIVE,100,200,0.9998,2087842,0,2087842
1137529,5,True,ProgressiveWideningSolver,100,200,0.9998,1960552,0,1960552
1137530,6,False,ProgressiveWideningSolver,100,200,0.9998,2297721,0,2297721
1137531,9,True,DPWSolver,100,200,0.998,1958972,0,1958972
1137532,10,False,DPWSolver,100,200,0.998,2097854,0,2097854
1137533,121,True,NAIVE,100,200,0.998,1982420,0,1982420
1137534,147,False,NAIVE,100,200,0.998,2208424,0,2208424
1137535,5,True,ProgressiveWideningSolver,100,200,0.998,2043321,0,2043321
1137536,6,False,ProgressiveWideningSolver,100,200,0.998,2183463,0,2183463
1137537,21,True,DPWSolver,100,500,0.9998,1938990,0,1938990
1137538,25,False,DPWSolver,100,500,0.9998,2162681,0,2162681
1137539,244,True,NAIVE,100,500,0.9998,1929095,0,1929095
1137540,350,False,NAIVE,100,500,0.9998,2009904,0,2009904
1137541,9,True,ProgressiveWideningSolver,100,500,0.9998,2051182,0,2051182
1137542,11,False,ProgressiveWideningSolver,100,500,0.9998,2204901,0,2204901
1137543,22,True,DPWSolver,100,500,0.998,1977932,0,1977932
1137544,25,False,DPWSolver,100,500,0.998,2228609,0,2228609
1137545,271,True,NAIVE,100,500,0.998,1972140,0,1972140
1137546,345,False,NAIVE,100,500,0.998,2041950,0,2041950
1137547,19,True,ProgressiveWideningSolver,100,500,0.998,2103916,0,2103916
1137548,21,False,ProgressiveWideningSolver,100,500,0.998,2185478,0,2185478
1137549,46,True,DPWSolver,100,1000,0.9998,1988103,0,1988103
1137550,48,False,DPWSolver,100,1000,0.9998,2153874,0,2153874
1137551,373,True,NAIVE,100,1000,0.9998,1920125,0,1920125
1137552,499,False,NAIVE,100,1000,0.9998,2101605,0,2101605
1137553,16,True,ProgressiveWideningSolver,100,1000,0.9998,2023909,0,2023909
1137554,19,False,ProgressiveWideningSolver,100,1000,0.9998,2145899,0,2145899
1137555,44,True,DPWSolver,100,1000,0.998,1933214,0,1933214
1137556,54,False,DPWSolver,100,1000,0.998,2062998,0,2062998
1137557,377,True,NAIVE,100,1000,0.998,1906986,0,1906986
1137558,486,False,NAIVE,100,1000,0.998,1994429,0,1994429
1137559,17,True,ProgressiveWideningSolver,100,1000,0.998,1961153,0,1961153
1137560,21,False,ProgressiveWideningSolver,100,1000,0.998,2166881,0,2166881
1137561,99,True,DPWSolver,100,2000,0.9998,2003696,0,2003696
1137562,111,False,DPWSolver,100,2000,0.9998,2231098,0,2231098
1137563,542,True,NAIVE,100,2000,0.9998,1851752,0,1851752
1137564,693,False,NAIVE,100,2000,0.9998,1981700,0,1981700
1137565,32,True,ProgressiveWideningSolver,100,2000,0.9998,2046918,0,2046918
1137566,48,False,ProgressiveWideningSolver,100,2000,0.9998,2158405,0,2158405
1137567,96,True,DPWSolver,100,2000,0.998,2026314,0,2026314
1137568,118,False,DPWSolver,100,2000,0.998,2152651,0,2152651
1137569,568,True,NAIVE,100,2000,0.998,1913574,0,1913574
1137570,754,False,NAIVE,100,2000,0.998,2024115,0,2024115
1137571,31,True,ProgressiveWideningSolver,100,2000,0.998,2017885,0,2017885
1137572,40,False,ProgressiveWideningSolver,100,2000,0.998,2190720,0,2190720
1137573,270,True,DPWSolver,100,5000,0.9998,2014286,0,2014286
1137574,308,False,DPWSolver,100,5000,0.9998,2086650,0,2086650
