Simulation number,run_time,ALGORITHM,EXPLORATION_CONSTANT,MAX_ITERATION,MIN_SET_SIZE,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
4419201,1,DPWSolver,50000,50,6,2001889,0,2001889
4419202,1,ProgressiveWideningSolver,50000,50,6,2039701,0,2039701
4419203,2,DPWSolver,50000,50,11,2123327,0,2123327
4419204,2,ProgressiveWideningSolver,50000,50,11,2097243,0,2097243
4419205,3,DPWSolver,50000,100,6,2115955,0,2115955
4419206,2,ProgressiveWideningSolver,50000,100,6,2089527,0,2089527
4419207,3,DPWSolver,50000,100,11,1984315,0,1984315
4419208,3,ProgressiveWideningSolver,50000,100,11,1978415,0,1978415
4419209,5,DPWSolver,50000,200,6,2083144,0,2083144
4419210,3,ProgressiveWideningSolver,50000,200,6,2001637,0,2001637
4419211,5,DPWSolver,50000,200,11,1964544,0,1964544
4419212,3,ProgressiveWideningSolver,50000,200,11,2063672,0,2063672
4419213,11,DPWSolver,50000,500,6,1921347,0,1921347
4419214,5,ProgressiveWideningSolver,50000,500,6,2020995,0,2020995
4419215,11,DPWSolver,50000,500,11,2042362,0,2042362
4419216,5,ProgressiveWideningSolver,50000,500,11,2063523,0,2063523
4419217,20,DPWSolver,50000,1000,6,1994873,0,1994873
4419218,8,ProgressiveWideningSolver,50000,1000,6,2023271,0,2023271
4419219,21,DPWSolver,50000,1000,11,1965900,0,1965900
4419220,8,ProgressiveWideningSolver,50000,1000,11,2033531,0,2033531
4419221,42,DPWSolver,50000,2000,6,1933071,0,1933071
4419222,14,ProgressiveWideningSolver,50000,2000,6,1941217,0,1941217
4419223,43,DPWSolver,50000,2000,11,1984031,0,1984031
4419224,14,ProgressiveWideningSolver,50000,2000,11,2030454,0,2030454
4419225,2,DPWSolver,100000,50,6,2021692,0,2021692
4419226,1,ProgressiveWideningSolver,100000,50,6,2070701,0,2070701
4419227,2,DPWSolver,100000,50,11,2053931,0,2053931
4419228,1,ProgressiveWideningSolver,100000,50,11,2132304,0,2132304
4419229,3,DPWSolver,100000,100,6,2092640,0,2092640
4419230,3,ProgressiveWideningSolver,100000,100,6,1989410,0,1989410
4419231,3,DPWSolver,100000,100,11,2060032,0,2060032
4419232,3,ProgressiveWideningSolver,100000,100,11,2018938,0,2018938
4419233,5,DPWSolver,100000,200,6,1994173,0,1994173
4419234,3,ProgressiveWideningSolver,100000,200,6,2121599,0,2121599
4419235,5,DPWSolver,100000,200,11,1923073,0,1923073
4419236,3,ProgressiveWideningSolver,100000,200,11,2036263,0,2036263
4419237,11,DPWSolver,100000,500,6,1965228,0,1965228
4419238,5,ProgressiveWideningSolver,100000,500,6,2000219,0,2000219
4419239,11,DPWSolver,100000,500,11,1937037,0,1937037
4419240,5,ProgressiveWideningSolver,100000,500,11,2034305,0,2034305
4419241,23,DPWSolver,100000,1000,6,1982938,0,1982938
4419242,9,ProgressiveWideningSolver,100000,1000,6,2031513,0,2031513
4419243,23,DPWSolver,100000,1000,11,1998992,0,1998992
4419244,8,ProgressiveWideningSolver,100000,1000,11,1964513,0,1964513
4419245,43,DPWSolver,100000,2000,6,1981036,0,1981036
4419246,14,ProgressiveWideningSolver,100000,2000,6,2004376,0,2004376
4419247,48,DPWSolver,100000,2000,11,1973906,0,1973906
4419248,15,ProgressiveWideningSolver,100000,2000,11,1962327,0,1962327
4419249,2,DPWSolver,250000,50,6,2062399,0,2062399
4419250,1,ProgressiveWideningSolver,250000,50,6,1973600,0,1973600
4419251,2,DPWSolver,250000,50,11,2058185,0,2058185
4419252,2,ProgressiveWideningSolver,250000,50,11,2084651,0,2084651
4419253,3,DPWSolver,250000,100,6,2058829,0,2058829
4419254,3,ProgressiveWideningSolver,250000,100,6,2056451,0,2056451
4419255,3,DPWSolver,250000,100,11,1937045,0,1937045
4419256,3,ProgressiveWideningSolver,250000,100,11,1967746,0,1967746
4419257,5,DPWSolver,250000,200,6,1975697,0,1975697
4419258,3,ProgressiveWideningSolver,250000,200,6,2081887,0,2081887
4419259,5,DPWSolver,250000,200,11,1909039,0,1909039
4419260,4,ProgressiveWideningSolver,250000,200,11,2035050,0,2035050
4419261,12,DPWSolver,250000,500,6,1982772,0,1982772
4419262,6,ProgressiveWideningSolver,250000,500,6,1941093,0,1941093
4419263,12,DPWSolver,250000,500,11,1922858,0,1922858
4419264,7,ProgressiveWideningSolver,250000,500,11,1985413,0,1985413
4419265,22,DPWSolver,250000,1000,6,1983309,0,1983309
4419266,9,ProgressiveWideningSolver,250000,1000,6,1983919,0,1983919
4419267,23,DPWSolver,250000,1000,11,1910532,0,1910532
4419268,10,ProgressiveWideningSolver,250000,1000,11,1922459,0,1922459
4419269,51,DPWSolver,250000,2000,6,1958352,0,1958352
4419270,15,ProgressiveWideningSolver,250000,2000,6,1994870,0,1994870
4419271,48,DPWSolver,250000,2000,11,1964628,0,1964628
4419272,17,ProgressiveWideningSolver,250000,2000,11,2010888,0,2010888
4419273,2,DPWSolver,500000,50,6,1977934,0,1977934
